"Cashway payment","Cashway"
"Cashway account configuration","Configuration du compte Cashway"
"Api key (production account)","Clé de l'API (production)"
"Api secret (production account)","Code secret de l'API (production)"
"Api Shared secret (production account)","Code secret partagé (production)"
"Api key (test account)","Clé de l'API (test)"
"Api secret (test account)","Code secret de l'API (test)"
"Api Shared secret (test account)","Code secret partagé (test)"
"Cashway payment method","Cashway"
"Enable debug log","Activer le mode debug"
"Log all queries to and from cashway API","Log les requêtes entrantes/sortantes de l'API Cashway"
"Enable test mode","Activer le mode test"
"Call requests in test API Endpoint","Effectue les requêtes sur l'url de test avec les identifiants de test"
"Conversion Expired at %s.","La conversion a expirée le %s."
"Transaction confimed with status %s.","La transaction est confirmée, son statut est: %s."
"Transaction paid at %s.","La transaction a été payée le %s."
"Transaction Expired at %s.","La transaction a expirée le %s."
"Transaction Canceled with status %s.","La transaction a été annulée, son statut est: %s."
"Transaction Blocked with status %s.","La transaction a été bloquée, son statut est: %s."
"Notification received with data %s.","Notificatio nreçue avec les données: %s."
"Transaction is open.","LA transaction est ouverte."
"Cashway is actually not available.","Cashway n'est actuellement pas disponible"
"Find cashway payment points","Trouver les distributeurs CashWay"
